,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1263.6953,1003.8199,9,1.8047
1,Pakistan,S8_G2,8,Super 8 stage,956.7506,801.9568,7,1.3821
2,Ireland,A,4,Group stage,517.945,488.4527,4,0.4608
3,Canada,A,0,Group stage,386.8676,684.8476,4,-4.6559
4,United States of America,A,2,Group stage,453.8438,563.2209,4,-1.709
5,England,S8_G2,12,Semifinalist,1160.2702,973.7136,8,1.4575
6,Australia,S8_G1,14,Finalist,1248.062,1064.5687,9,1.2743
7,Namibia,B,2,Group stage,449.7412,536.0487,4,-1.3486
8,Scotland,B,4,Group stage,472.0984,535.298,4,-0.9875
9,Oman,B,0,Group stage,412.9793,581.0738,4,-2.6265
10,New Zealand,S8_G1,8,Super 8 stage,1048.5935,777.4303,7,2.4211
11,West Indies,S8_G2,12,Semifinalist,1206.2575,984.9008,8,1.7293
12,Afghanistan,C,4,Group stage,548.7769,577.3543,4,-0.4465
13,Uganda,C,0,Group stage,433.2536,729.1708,4,-4.6237
14,Papua New Guinea,C,2,Group stage,491.6396,649.0664,4,-2.4598
15,South Africa,S8_G2,8,Super 8 stage,964.9262,854.7201,7,0.984
16,Sri Lanka,S8_G1,6,Super 8 stage,855.0076,898.8516,7,-0.3915
17,Bangladesh,D,4,Group stage,513.0022,454.9552,4,0.907
18,Netherlands,D,2,Group stage,490.7581,536.7484,4,-0.7186
19,Nepal,D,0,Group stage,449.3439,627.6139,4,-2.7855
