,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1281.3974,1004.0201,9,1.9262
1,Pakistan,S8_G2,8,Super 8 stage,953.5695,811.9391,7,1.2646
2,Ireland,A,4,Group stage,520.5851,502.0174,4,0.2901
3,Canada,A,0,Group stage,405.4987,666.8138,4,-4.083
4,United States of America,A,2,Group stage,429.8335,566.7604,4,-2.1395
5,England,S8_G2,10,Semifinalist,1128.7807,970.4836,8,1.2367
6,Australia,S8_G1,12,Finalist,1247.5699,1065.0458,9,1.2675
7,Namibia,B,2,Group stage,458.0608,541.1035,4,-1.2975
8,Scotland,B,4,Group stage,477.8669,553.8355,4,-1.187
9,Oman,B,0,Group stage,439.0428,596.4197,4,-2.459
10,New Zealand,S8_G1,10,Super 8 stage,1043.2831,778.5563,7,2.3636
11,West Indies,S8_G2,12,Semifinalist,1244.522,982.3118,8,2.0485
12,Afghanistan,C,4,Group stage,590.2099,594.2516,4,-0.0632
13,Uganda,C,0,Group stage,439.0205,765.3769,4,-5.0993
14,Papua New Guinea,C,2,Group stage,479.7881,658.7124,4,-2.7957
15,South Africa,S8_G2,8,Super 8 stage,953.398,877.3761,7,0.6788
16,Sri Lanka,D,4,Group stage,520.8696,478.0025,4,0.6698
17,Bangladesh,S8_G1,6,Super 8 stage,867.1214,847.4049,7,0.176
18,Netherlands,D,2,Group stage,498.9638,538.9251,4,-0.6244
19,Nepal,D,0,Group stage,429.3911,609.4162,4,-2.8129
