,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1270.7348,1004.0481,9,1.852
1,Pakistan,S8_G2,6,Super 8 stage,965.945,815.6167,7,1.3422
2,Ireland,A,4,Group stage,508.442,469.8639,4,0.6028
3,Canada,A,0,Group stage,379.5518,702.1007,4,-5.0398
4,United States of America,A,2,Group stage,449.2964,558.0468,4,-1.6992
5,England,S8_G2,12,Semifinalist,1135.0321,963.1636,8,1.3427
6,Australia,S8_G1,10,Super 8 stage,974.3765,811.2631,7,1.4564
7,Namibia,B,4,Group stage,459.156,540.7386,4,-1.2747
8,Scotland,B,0,Group stage,462.6348,554.5512,4,-1.4362
9,Oman,B,2,Group stage,452.2724,577.6457,4,-1.959
10,New Zealand,S8_G1,10,Semifinalist,1205.5695,922.5906,8,2.2108
11,West Indies,S8_G2,12,Finalist,1329.1907,1120.7817,9,1.4473
12,Afghanistan,C,4,Group stage,565.5922,606.2832,4,-0.6358
13,Uganda,C,0,Group stage,432.7396,743.1415,4,-4.85
14,Papua New Guinea,C,2,Group stage,515.9009,658.9687,4,-2.2354
15,South Africa,S8_G2,10,Super 8 stage,958.7603,863.5982,7,0.8497
16,Sri Lanka,D,4,Group stage,533.0134,481.8328,4,0.7997
17,Bangladesh,S8_G1,6,Super 8 stage,870.7485,836.2005,7,0.3085
18,Netherlands,D,2,Group stage,490.4653,535.9407,4,-0.7106
19,Nepal,D,0,Group stage,430.6252,623.6712,4,-3.0163
