,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1255.6327,994.1487,9,1.8159
1,Pakistan,S8_G2,8,Super 8 stage,932.2079,813.9378,7,1.056
2,Ireland,A,4,Group stage,535.7746,462.3125,4,1.1478
3,Canada,A,0,Group stage,367.6802,675.3684,4,-4.8076
4,United States of America,A,2,Group stage,433.7231,555.0913,4,-1.8964
5,England,S8_G2,14,Finalist,1265.4182,1091.0454,9,1.2109
6,Australia,S8_G1,8,Super 8 stage,980.0889,821.5024,7,1.416
7,Namibia,B,4,Group stage,474.0269,534.1539,4,-0.9395
8,Scotland,B,0,Group stage,457.2721,558.7999,4,-1.5864
9,Oman,B,2,Group stage,442.8686,574.7159,4,-2.0601
10,New Zealand,S8_G1,12,Semifinalist,1185.2143,898.2286,8,2.2421
11,West Indies,S8_G2,10,Semifinalist,1240.8969,1001.0347,8,1.8739
12,Afghanistan,C,4,Group stage,578.9908,630.9443,4,-0.8118
13,Uganda,C,0,Group stage,455.0556,752.545,4,-4.6483
14,Papua New Guinea,C,2,Group stage,502.4501,664.0903,4,-2.5256
15,South Africa,S8_G2,8,Super 8 stage,963.4821,880.0019,7,0.7454
16,Sri Lanka,D,4,Group stage,531.0456,492.6063,4,0.6006
17,Bangladesh,S8_G1,6,Super 8 stage,848.812,822.8631,7,0.2317
18,Netherlands,D,2,Group stage,488.9692,532.5729,4,-0.6813
19,Nepal,D,0,Group stage,430.6375,614.284,4,-2.8695
