,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1253.903,1008.84,9,1.7018
1,Pakistan,S8_G2,8,Super 8 stage,964.255,811.0878,7,1.3676
2,Ireland,A,4,Group stage,499.0062,487.585,4,0.1785
3,Canada,A,0,Group stage,392.7838,648.2514,4,-3.9917
4,United States of America,A,2,Group stage,432.9496,561.8577,4,-2.0142
5,England,S8_G2,12,Semifinalist,1113.7772,958.8078,8,1.2107
6,Australia,S8_G1,14,Finalist,1263.4549,1059.7579,9,1.4146
7,Namibia,B,2,Group stage,469.5838,534.3389,4,-1.0118
8,Scotland,B,4,Group stage,460.3835,553.7105,4,-1.4582
9,Oman,B,0,Group stage,445.9203,595.2833,4,-2.3338
10,New Zealand,S8_G1,10,Super 8 stage,1050.2452,776.3211,7,2.4458
11,West Indies,S8_G2,10,Semifinalist,1229.2485,997.7163,8,1.8088
12,Afghanistan,C,4,Group stage,573.0219,580.8493,4,-0.1223
13,Uganda,C,0,Group stage,442.7225,764.2925,4,-5.0245
14,Papua New Guinea,C,2,Group stage,483.5958,658.0169,4,-2.7253
15,South Africa,S8_G2,8,Super 8 stage,957.1521,861.5036,7,0.854
16,Sri Lanka,D,4,Group stage,544.7363,487.898,4,0.8881
17,Bangladesh,S8_G1,6,Super 8 stage,849.9735,841.5602,7,0.0751
18,Netherlands,D,2,Group stage,487.7442,544.4451,4,-0.886
19,Nepal,D,0,Group stage,428.8695,611.2035,4,-2.849
