,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1264.0864,1019.3634,9,1.6995
1,Pakistan,S8_G2,8,Super 8 stage,963.594,819.3709,7,1.2877
2,Ireland,A,4,Group stage,522.1892,488.8643,4,0.5207
3,Canada,A,0,Group stage,383.7391,678.2901,4,-4.6024
4,United States of America,A,2,Group stage,436.0487,554.0462,4,-1.8437
5,England,S8_G2,12,Semifinalist,1143.5462,968.4221,8,1.3682
6,Australia,S8_G1,8,Super 8 stage,974.8378,806.4492,7,1.5035
7,Namibia,B,2,Group stage,442.6495,554.1203,4,-1.7417
8,Scotland,B,4,Group stage,467.1976,536.6352,4,-1.085
9,Oman,B,0,Group stage,448.7524,579.85,4,-2.0484
10,New Zealand,S8_G1,12,Finalist,1288.4803,1034.9897,9,1.7604
11,West Indies,S8_G2,14,Semifinalist,1247.1229,974.8537,8,2.1271
12,Afghanistan,C,4,Group stage,578.9263,596.9822,4,-0.2821
13,Uganda,C,0,Group stage,424.2853,780.4916,4,-5.5657
14,Papua New Guinea,C,2,Group stage,514.4649,629.0784,4,-1.7908
15,South Africa,S8_G2,8,Super 8 stage,947.9857,869.4092,7,0.7016
16,Sri Lanka,D,4,Group stage,528.6668,471.1178,4,0.8992
17,Bangladesh,S8_G1,6,Super 8 stage,856.235,852.365,7,0.0346
18,Netherlands,D,2,Group stage,491.0204,529.6958,4,-0.6043
19,Nepal,D,0,Group stage,453.2488,632.6822,4,-2.8036
