,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1262.5741,1023.7879,9,1.6582
1,Pakistan,S8_G2,6,Super 8 stage,971.39,813.8007,7,1.407
2,Ireland,A,4,Group stage,527.3962,474.0514,4,0.8335
3,Canada,A,0,Group stage,381.8677,699.6072,4,-4.9647
4,United States of America,A,2,Group stage,452.1219,554.8442,4,-1.605
5,England,S8_G2,12,Semifinalist,1126.6215,978.3665,8,1.1582
6,Australia,S8_G1,12,Finalist,1228.4282,1081.9543,9,1.0172
7,Namibia,B,2,Group stage,465.0543,530.3377,4,-1.0201
8,Scotland,B,4,Group stage,477.0437,533.056,4,-0.8752
9,Oman,B,0,Group stage,431.2614,578.1507,4,-2.2951
10,New Zealand,S8_G1,10,Super 8 stage,1053.3998,786.5839,7,2.3823
11,West Indies,S8_G2,12,Semifinalist,1248.7355,996.8865,8,1.9676
12,Afghanistan,C,4,Group stage,578.4791,617.0204,4,-0.6022
13,Uganda,C,0,Group stage,447.2736,757.558,4,-4.8482
14,Papua New Guinea,C,2,Group stage,498.9209,644.5741,4,-2.2758
15,South Africa,S8_G2,10,Super 8 stage,967.3468,873.5824,7,0.8372
16,Sri Lanka,S8_G1,6,Super 8 stage,876.8453,886.2907,7,-0.0843
17,Bangladesh,D,4,Group stage,513.5834,455.895,4,0.9014
18,Netherlands,D,2,Group stage,493.9145,531.3554,4,-0.585
19,Nepal,D,0,Group stage,421.4375,605.9924,4,-2.8837
