,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1269.0021,976.2541,9,2.033
1,Pakistan,S8_G2,8,Super 8 stage,953.6047,815.8246,7,1.2302
2,Ireland,A,4,Group stage,537.0443,481.2688,4,0.8715
3,Canada,A,0,Group stage,388.6081,687.9669,4,-4.6775
4,United States of America,A,2,Group stage,424.8778,558.5878,4,-2.0892
5,England,S8_G2,12,Finalist,1271.5115,1083.9292,9,1.3027
6,Australia,S8_G1,12,Semifinalist,1093.4986,939.1494,8,1.2059
7,Namibia,B,2,Group stage,482.1876,558.7978,4,-1.197
8,Scotland,B,4,Group stage,479.9018,540.2069,4,-0.9423
9,Oman,B,0,Group stage,435.1436,593.7156,4,-2.4777
10,New Zealand,S8_G1,10,Super 8 stage,1045.8961,792.0899,7,2.2661
11,West Indies,S8_G2,8,Super 8 stage,1086.1442,860.1902,7,2.0174
12,Afghanistan,C,4,Group stage,570.8733,590.0327,4,-0.2994
13,Uganda,C,0,Group stage,430.1828,766.5038,4,-5.255
14,Papua New Guinea,C,2,Group stage,519.3366,642.0604,4,-1.9176
15,South Africa,S8_G2,10,Semifinalist,1092.6287,983.7219,8,0.8508
16,Sri Lanka,D,4,Group stage,537.1648,478.7687,4,0.9124
17,Bangladesh,S8_G1,6,Super 8 stage,816.7695,846.93,7,-0.2693
18,Netherlands,D,2,Group stage,496.0768,546.3952,4,-0.7862
19,Nepal,D,0,Group stage,439.4444,627.5032,4,-2.9384
