,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1272.1343,1006.8335,9,1.8424
1,Pakistan,S8_G2,8,Super 8 stage,959.7029,813.757,7,1.3031
2,Ireland,A,4,Group stage,523.3426,494.8917,4,0.4445
3,Canada,A,0,Group stage,386.5581,677.1727,4,-4.5409
4,United States of America,A,2,Group stage,452.1816,565.0536,4,-1.7636
5,England,S8_G2,14,Finalist,1289.4086,1088.8471,9,1.3928
6,Australia,S8_G1,10,Semifinalist,1093.1681,951.0663,8,1.1102
7,Namibia,B,2,Group stage,459.055,546.6706,4,-1.369
8,Scotland,B,2,Group stage,476.1435,554.0052,4,-1.2166
9,Oman,B,2,Group stage,431.2358,573.7253,4,-2.2264
10,New Zealand,S8_G1,8,Super 8 stage,1025.7046,769.8623,7,2.2843
11,West Indies,S8_G2,10,Semifinalist,1206.3749,976.6398,8,1.7948
12,Afghanistan,C,4,Group stage,572.1321,581.0203,4,-0.1389
13,Uganda,C,0,Group stage,447.2765,772.9729,4,-5.089
14,Papua New Guinea,C,2,Group stage,498.3104,636.081,4,-2.1527
15,South Africa,S8_G2,8,Super 8 stage,960.247,884.6362,7,0.6751
16,Sri Lanka,D,4,Group stage,522.9732,484.6741,4,0.5984
17,Bangladesh,S8_G1,8,Super 8 stage,857.4664,842.9843,7,0.1293
18,Netherlands,D,2,Group stage,501.6801,524.4326,4,-0.3555
19,Nepal,D,0,Group stage,428.2383,618.0075,4,-2.9651
