,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1274.4004,997.0247,9,1.9262
1,Pakistan,S8_G2,8,Super 8 stage,962.3832,812.7493,7,1.336
2,Ireland,A,4,Group stage,519.4351,485.659,4,0.5278
3,Canada,A,0,Group stage,365.2266,712.3881,4,-5.4244
4,United States of America,A,2,Group stage,450.3817,537.5471,4,-1.362
5,England,S8_G2,14,Champion,1265.7751,1082.8871,9,1.2701
6,Australia,S8_G1,8,Super 8 stage,973.6432,804.1293,7,1.5135
7,Namibia,B,4,Group stage,457.4184,532.9992,4,-1.1809
8,Scotland,B,2,Group stage,457.4168,556.2177,4,-1.5438
9,Oman,B,0,Group stage,434.3676,578.0233,4,-2.2446
10,New Zealand,S8_G1,12,Semifinalist,1181.9797,916.6606,8,2.0728
11,West Indies,S8_G2,10,Semifinalist,1221.2957,999.5816,8,1.7321
12,Afghanistan,C,4,Group stage,561.9111,605.8356,4,-0.6863
13,Uganda,C,0,Group stage,420.9315,743.2153,4,-5.0357
14,Papua New Guinea,C,2,Group stage,517.0082,630.5371,4,-1.7739
15,South Africa,S8_G2,8,Super 8 stage,957.3641,867.2734,7,0.8044
16,Sri Lanka,D,4,Group stage,521.6837,480.3934,4,0.6452
17,Bangladesh,S8_G1,6,Super 8 stage,864.3477,826.4932,7,0.338
18,Netherlands,D,2,Group stage,482.5817,534.6309,4,-0.8133
19,Nepal,D,0,Group stage,432.3087,617.6143,4,-2.8954
