,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1248.5837,1023.2858,9,1.5646
1,Pakistan,S8_G2,8,Super 8 stage,945.7334,809.8348,7,1.2134
2,Ireland,A,4,Group stage,529.044,469.2532,4,0.9342
3,Canada,A,0,Group stage,389.1208,661.6281,4,-4.2579
4,United States of America,A,2,Group stage,430.6266,559.4104,4,-2.0122
5,England,S8_G2,12,Champion,1267.275,1080.3266,9,1.2983
6,Australia,S8_G1,12,Semifinalist,1116.7441,930.5531,8,1.4546
7,Namibia,B,2,Group stage,459.5046,544.5754,4,-1.3292
8,Scotland,B,2,Group stage,448.8342,544.5676,4,-1.4958
9,Oman,B,2,Group stage,435.7021,573.3725,4,-2.1511
10,New Zealand,S8_G1,10,Super 8 stage,1056.0332,774.449,7,2.5141
11,West Indies,S8_G2,10,Semifinalist,1216.6354,974.2702,8,1.8935
12,Afghanistan,C,4,Group stage,558.368,630.4049,4,-1.1256
13,Uganda,C,0,Group stage,444.2776,731.0345,4,-4.4806
14,Papua New Guinea,C,2,Group stage,504.0133,648.6638,4,-2.2602
15,South Africa,S8_G2,8,Super 8 stage,956.49,864.531,7,0.8211
16,Sri Lanka,S8_G1,6,Super 8 stage,857.8207,885.778,7,-0.2496
17,Bangladesh,D,4,Group stage,520.4726,462.2884,4,0.9091
18,Netherlands,D,2,Group stage,514.71,528.2111,4,-0.211
19,Nepal,D,0,Group stage,428.7964,632.3476,4,-3.1805
