,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1258.5515,999.8878,9,1.7963
1,Pakistan,S8_G2,8,Super 8 stage,964.2216,803.1104,7,1.4385
2,Ireland,A,4,Group stage,514.7135,488.7867,4,0.4051
3,Canada,A,0,Group stage,367.367,678.8524,4,-4.867
4,United States of America,A,2,Group stage,464.6997,561.3016,4,-1.5094
5,England,S8_G2,14,Finalist,1275.269,1099.1397,9,1.2231
6,Australia,S8_G1,10,Super 8 stage,980.9309,820.786,7,1.4299
7,Namibia,B,2,Group stage,454.4474,543.1563,4,-1.3861
8,Scotland,B,4,Group stage,473.8092,538.0709,4,-1.0041
9,Oman,B,0,Group stage,445.7713,585.457,4,-2.1826
10,New Zealand,S8_G1,10,Semifinalist,1185.3859,913.7434,8,2.1222
11,West Indies,S8_G2,10,Semifinalist,1187.2889,978.3605,8,1.6323
12,Afghanistan,C,4,Group stage,550.0958,597.4204,4,-0.7394
13,Uganda,C,0,Group stage,449.2176,727.6222,4,-4.3501
14,Papua New Guinea,C,2,Group stage,503.032,641.3341,4,-2.161
15,South Africa,S8_G2,8,Super 8 stage,967.7844,881.1012,7,0.774
16,Sri Lanka,D,4,Group stage,536.1555,473.438,4,0.98
17,Bangladesh,S8_G1,6,Super 8 stage,858.6143,849.4034,7,0.0822
18,Netherlands,D,2,Group stage,499.511,554.9411,4,-0.8661
19,Nepal,D,0,Group stage,435.6837,636.6372,4,-3.1399
