,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1278.3247,1006.5383,9,1.8874
1,Pakistan,S8_G2,8,Super 8 stage,965.1801,810.2997,7,1.3829
2,Ireland,A,4,Group stage,515.3687,476.3344,4,0.6099
3,Canada,A,0,Group stage,384.8207,654.8289,4,-4.2189
4,United States of America,A,2,Group stage,450.4566,584.3623,4,-2.0923
5,England,S8_G2,12,Semifinalist,1134.7894,954.3134,8,1.41
6,Australia,S8_G1,8,Super 8 stage,984.2074,822.9635,7,1.4397
7,Namibia,B,0,Group stage,435.7721,546.3029,4,-1.727
8,Scotland,B,4,Group stage,466.0545,546.5411,4,-1.2576
9,Oman,B,2,Group stage,435.4601,572.1535,4,-2.1358
10,New Zealand,S8_G1,14,Finalist,1315.6927,1034.3939,9,1.9535
11,West Indies,S8_G2,12,Semifinalist,1245.8761,980.4263,8,2.0738
12,Afghanistan,C,4,Group stage,591.3075,607.9378,4,-0.2598
13,Uganda,C,0,Group stage,448.0254,790.0527,4,-5.3442
14,Papua New Guinea,C,2,Group stage,497.3041,658.5502,4,-2.5195
15,South Africa,S8_G2,8,Super 8 stage,949.0402,872.2711,7,0.6854
16,Sri Lanka,S8_G1,6,Super 8 stage,883.0625,901.2518,7,-0.1624
17,Bangladesh,D,4,Group stage,521.9257,459.9652,4,0.9681
18,Netherlands,D,2,Group stage,504.2342,535.8469,4,-0.4939
19,Nepal,D,0,Group stage,432.2431,623.8121,4,-2.9933
