,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Semifinalist,1122.8093,877.3963,8,1.9173
1,Pakistan,S8_G2,6,Super 8 stage,939.2162,816.0811,7,1.0994
2,Ireland,A,4,Group stage,512.8836,480.8824,4,0.5
3,Canada,A,0,Group stage,388.5661,661.123,4,-4.2587
4,United States of America,A,2,Group stage,460.8969,573.9387,4,-1.7663
5,England,S8_G2,12,Finalist,1272.7049,1096.5232,9,1.2235
6,Australia,S8_G1,14,Champion,1270.1003,1069.871,9,1.3905
7,Namibia,B,2,Group stage,463.814,531.2963,4,-1.0544
8,Scotland,B,4,Group stage,466.0813,559.7966,4,-1.4643
9,Oman,B,0,Group stage,427.5575,588.2586,4,-2.511
10,New Zealand,S8_G1,10,Super 8 stage,1055.247,783.8692,7,2.423
11,West Indies,S8_G2,10,Semifinalist,1248.1264,984.0125,8,2.0634
12,Afghanistan,C,4,Group stage,584.063,593.7275,4,-0.151
13,Uganda,C,0,Group stage,444.6937,745.3952,4,-4.6985
14,Papua New Guinea,C,2,Group stage,467.3201,681.7646,4,-3.3507
15,South Africa,S8_G2,10,Super 8 stage,961.3576,877.0698,7,0.7526
16,Sri Lanka,D,4,Group stage,545.5938,470.9893,4,1.1657
17,Bangladesh,S8_G1,6,Super 8 stage,860.4092,842.9565,7,0.1558
18,Netherlands,D,2,Group stage,495.6871,540.4625,4,-0.6996
19,Nepal,D,0,Group stage,429.1701,640.8836,4,-3.308
