,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1269.1579,987.3923,9,1.9567
1,Pakistan,S8_G2,8,Super 8 stage,963.5031,820.2349,7,1.2792
2,Ireland,A,4,Group stage,526.7718,491.4128,4,0.5525
3,Canada,A,0,Group stage,383.2203,671.9432,4,-4.5113
4,United States of America,A,2,Group stage,440.5714,555.6508,4,-1.7981
5,England,S8_G2,14,Semifinalist,1132.1908,957.8747,8,1.3618
6,Australia,S8_G1,10,Super 8 stage,979.2413,806.2385,7,1.5447
7,Namibia,B,4,Group stage,467.73,543.2767,4,-1.1804
8,Scotland,B,2,Group stage,470.1161,558.9936,4,-1.3887
9,Oman,B,0,Group stage,440.9088,579.064,4,-2.1587
10,New Zealand,S8_G1,10,Finalist,1294.5392,1051.5701,9,1.6873
11,West Indies,S8_G2,10,Semifinalist,1223.8445,987.7887,8,1.8442
12,Afghanistan,C,4,Group stage,587.8855,594.5638,4,-0.1043
13,Uganda,C,0,Group stage,443.5278,779.1406,4,-5.244
14,Papua New Guinea,C,2,Group stage,514.8444,664.0964,4,-2.3321
15,South Africa,S8_G2,8,Super 8 stage,948.0243,869.8441,7,0.698
16,Sri Lanka,S8_G1,6,Super 8 stage,874.2649,893.4078,7,-0.1709
17,Bangladesh,D,4,Group stage,506.6708,459.1958,4,0.7418
18,Netherlands,D,2,Group stage,495.7173,534.3086,4,-0.603
19,Nepal,D,0,Group stage,445.4069,602.1397,4,-2.449
