,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1246.8171,999.5435,9,1.7172
1,Pakistan,S8_G2,8,Super 8 stage,976.0828,821.6506,7,1.3789
2,Ireland,A,4,Group stage,529.993,484.1315,4,0.7166
3,Canada,A,0,Group stage,382.6802,689.7368,4,-4.7978
4,United States of America,A,2,Group stage,467.2737,559.3554,4,-1.4388
5,England,S8_G2,10,Semifinalist,1117.5981,967.7821,8,1.1704
6,Australia,S8_G1,12,Finalist,1242.4766,1074.4074,9,1.1671
7,Namibia,B,4,Group stage,485.1802,526.5326,4,-0.6461
8,Scotland,B,0,Group stage,464.577,561.2339,4,-1.5103
9,Oman,B,2,Group stage,446.6371,599.6142,4,-2.3903
10,New Zealand,S8_G1,10,Super 8 stage,1046.5073,768.6985,7,2.4804
11,West Indies,S8_G2,12,Semifinalist,1206.7597,984.8581,8,1.7336
12,Afghanistan,C,4,Group stage,566.5257,581.0571,4,-0.2271
13,Uganda,C,0,Group stage,430.5596,748.3337,4,-4.9652
14,Papua New Guinea,C,2,Group stage,503.0563,670.3904,4,-2.6146
15,South Africa,S8_G2,8,Super 8 stage,955.5741,868.952,7,0.7734
16,Sri Lanka,D,4,Group stage,517.3597,498.1452,4,0.3002
17,Bangladesh,S8_G1,6,Super 8 stage,862.1108,824.6484,7,0.3345
18,Netherlands,D,2,Group stage,511.1779,533.2874,4,-0.3455
19,Nepal,D,0,Group stage,421.6988,618.2869,4,-3.0717
