,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1261.5433,1012.0739,9,1.7324
1,Pakistan,S8_G2,6,Super 8 stage,938.1588,813.5903,7,1.1122
2,Ireland,A,4,Group stage,526.981,493.3236,4,0.5259
3,Canada,A,0,Group stage,411.2666,681.2031,4,-4.2178
4,United States of America,A,2,Group stage,454.5408,570.6077,4,-1.8135
5,England,S8_G2,12,Semifinalist,1138.2118,981.8621,8,1.2215
6,Australia,S8_G1,12,Finalist,1254.8062,1067.8348,9,1.2984
7,Namibia,B,2,Group stage,461.4876,552.1922,4,-1.4173
8,Scotland,B,4,Group stage,465.7069,546.638,4,-1.2645
9,Oman,B,0,Group stage,444.1169,580.1925,4,-2.1262
10,New Zealand,S8_G1,10,Super 8 stage,1033.1712,792.2014,7,2.1515
11,West Indies,S8_G2,10,Semifinalist,1202.7134,983.5841,8,1.7119
12,Afghanistan,C,4,Group stage,579.4512,582.7629,4,-0.0517
13,Uganda,C,2,Group stage,472.7103,740.8166,4,-4.1892
14,Papua New Guinea,C,0,Group stage,486.0853,663.729,4,-2.7757
15,South Africa,S8_G2,10,Super 8 stage,960.5902,867.3664,7,0.8324
16,Sri Lanka,D,4,Group stage,529.3898,475.9175,4,0.8355
17,Bangladesh,S8_G1,6,Super 8 stage,844.5823,843.1473,7,0.0128
18,Netherlands,D,2,Group stage,504.8589,531.1612,4,-0.411
19,Nepal,D,0,Group stage,447.7575,637.9254,4,-2.9714
