,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1251.5752,1015.7507,9,1.6377
1,Pakistan,S8_G2,6,Super 8 stage,979.4055,816.5992,7,1.4536
2,Ireland,A,4,Group stage,540.7828,484.6692,4,0.8768
3,Canada,A,0,Group stage,372.5122,688.0148,4,-4.9297
4,United States of America,A,2,Group stage,452.9263,565.2137,4,-1.7545
5,England,S8_G2,14,Finalist,1271.6847,1085.2119,9,1.295
6,Australia,S8_G1,10,Super 8 stage,980.1479,809.9115,7,1.52
7,Namibia,B,4,Group stage,453.0505,545.7318,4,-1.4481
8,Scotland,B,2,Group stage,471.2139,543.7333,4,-1.1331
9,Oman,B,0,Group stage,430.0374,579.9694,4,-2.3427
10,New Zealand,S8_G1,10,Semifinalist,1209.1023,930.1699,8,2.1792
11,West Indies,S8_G2,10,Semifinalist,1198.7589,991.1779,8,1.6217
12,Afghanistan,C,4,Group stage,593.5428,614.0619,4,-0.3206
13,Uganda,C,0,Group stage,440.0866,764.6946,4,-5.072
14,Papua New Guinea,C,2,Group stage,494.904,648.7772,4,-2.4043
15,South Africa,S8_G2,10,Super 8 stage,957.3858,860.457,7,0.8654
16,Sri Lanka,D,4,Group stage,527.2674,482.0658,4,0.7063
17,Bangladesh,S8_G1,6,Super 8 stage,848.7302,837.9077,7,0.0966
18,Netherlands,D,2,Group stage,503.7442,519.7154,4,-0.2496
19,Nepal,D,0,Group stage,436.3109,629.3368,4,-3.016
